date,option_pnl,futures_pnl,cost,total_pnl,theta_pnl,gamma_pnl,vega_pnl,residual_pnl,futures_position,delta_hedge_change,delta,gamma,vega,theta,iv,F,P,cum_pnl
2025-03-19,3400.0,0.0,-15.791783174262852,3384.208216825737,0.0,0.0,0.0,0.0,-0.022131386244937185,-0.022131386244937185,-0.08852554497974874,9.94476268146558e-05,977.9110085417956,-4.620325162842078,0.26441373429328197,22018.0,68.0,3384.208216825737
2025-03-20,1775.0,-1535.9182053986406,-1.0770196392005518,238.00477496215888,231.01625814210388,-299.35973242814725,509.37911564410996,1333.9643586419334,-0.012291996155401722,0.009839390089535462,-0.04916798462160689,6.585054585610173e-05,618.8637178764831,-2.9123144124698745,0.2539960355212093,22365.0,32.5,3622.212991787896
2025-03-21,-375.0,452.34545851878335,-0.2924986198987249,77.05295989888462,145.61572062349373,-55.73590201260451,-31.28030182597402,-433.5995167849152,-0.014982281831965543,-0.002690285676563821,-0.059929127327862174,7.88159516592793e-05,704.3829485138878,-3.456011691596051,0.25500693019551035,22181.0,40.0,3699.2659516867807
2025-03-24,-0.0,89.89369099179326,-0.016385316536078023,89.87730567525719,172.80058457980255,-1.7733589123337845,-471.77972799154696,300.7525023240782,-0.015133153959475378,-0.0001508721275098341,-0.06053261583790151,8.035417915797883e-05,666.8323088592861,-3.892586503946474,0.26840247672277684,22151.0,40.0,3789.1432573620377
2025-03-25,675.0,-453.9946187842613,-0.46070082918127503,220.54468038655742,194.6293251973237,-45.199225776363086,129.0959788911219,396.4739216879175,-0.010914436429153457,0.00421871753032192,-0.04365774571661383,6.385637088236679e-05,506.3590482936615,-3.0454048283981536,0.2645305593853593,22301.0,26.5,4009.6879377485952
2025-03-26,250.0,-6.548661857492075,-0.16237530711818807,243.28896283538973,152.27024141990768,-0.014367683448532526,106.87215392029923,-9.128027656758377,-0.009427700903972274,0.0014867355251811827,-0.0377108036158891,5.896866808083072e-05,439.3423251699644,-2.7239024835737617,0.26030935886448625,22304.0,21.5,4252.976900583985
2025-03-27,-675.0,627.8848802045535,-0.5750672035444734,-47.690186998990974,136.19512417868808,-163.47441587038094,-39.856371405169085,-607.8643369031381,-0.01475812250072873,-0.005330421596756455,-0.05903249000291492,8.72280816303905e-05,604.7827983786024,-3.9647081153547714,0.2621237240700125,21971.0,35.0,4205.286713584995
2025-03-28,-1400.0,1098.0043140542175,-1.051351311698209,-303.0470372574807,198.23540576773857,-301.774271208499,-171.91224557439236,-1124.5488889848473,-0.02463961533596886,-0.009881492835240131,-0.09855846134387544,0.00013154611218310527,855.5214633375143,-6.032089946905742,0.2678088145201801,21599.0,63.0,3902.2396763275137
2025-03-31,-9200.0,4114.815761106799,-4.595399481537992,-5089.779638374739,301.6044973452871,-2292.9309516716394,-2274.4939049922573,-4934.17964068139,-0.06923090047742586,-0.044591285141457,-0.27692360190970344,0.00023985567504249215,1455.051535269881,-14.605749134266501,0.3209809207141995,20764.0,247.0,-1187.5399620472253
2025-04-01,6150.0,-5856.934180390228,-2.797467673355143,290.2683519364169,730.287456713325,-1072.9284019919521,912.37667920142,5580.264266077207,-0.042524255258852305,0.026706645218573556,-0.17009702103540922,0.00019104297615768248,1087.0242803050367,-11.181396484158025,0.308440104707539,21187.0,124.0,-897.2716101108085
2025-04-02,450.0,-927.0287646429801,-0.3669775065438435,-477.395742149524,559.0698242079012,-56.74453999323564,-1053.3184980001265,1000.993213785461,-0.0390353452863865,0.0034889099724658076,-0.156141381145546,0.0001750908144577842,998.4584558609929,-11.694748777457344,0.3278199569718242,21296.0,115.0,-1374.6673522603326
2025-04-07,-45250.0,16621.25002294337,-14.054652021511412,-28642.80462907814,584.7374388728672,-19840.595108368638,-3852.736774188789,-22141.40555631544,-0.18442629184069,-0.1453909465543035,-0.73770516736276,0.0002670610356567882,979.7531832220529,-22.087696008308637,0.4049936591238379,19167.0,1020.0,-30017.471981338473
2025-04-08,-44000.0,36811.487851401725,-3.5511338197536517,-7192.063282418028,1104.3848004154318,-6649.846493957592,-5154.4264743457925,-33300.111832112045,-0.2227440204840675,-0.038317728643377486,-0.89097608193627,0.0001358182835583073,501.38176523770306,-16.06932257939375,0.5102125359310508,18169.0,1900.0,-37209.5352637565
2025-04-09,-47000.0,43880.5720353613,-1.4679180803046827,-3120.895882719005,803.4661289696875,-3294.3573541339674,-2777.0039137547265,-41732.104861080996,-0.23928655204177443,-0.016542531557706935,-0.9571462081670977,6.131157805656221e-05,215.61471776541643,-9.684967392356366,0.6209865650758147,17184.0,2840.0,-40330.43114647551
2025-04-10,86500.0,-82218.8592815537,-0.11538929879677838,4281.0253291475055,484.2483696178183,-4524.064852795418,3880.2563178997284,86659.56016527787,-0.23807965200415437,0.0012069000376200567,-0.9523186080166175,0.00015626356290534808,239.59324544131206,-5.259671431778648,0.2610615694063305,18902.0,1110.0,-36049.40581732801
2025-04-11,22750.0,-30521.811386932593,-6.841533996506227,-7778.652920929099,262.9835715889324,-1605.143224752808,-1858.483711315568,25950.643364479445,-0.16839039237303524,0.06968925963111913,-0.673561569492141,0.0003786019096798426,824.4086468619721,-34.33960935456203,0.41619813912826786,19543.0,655.0,-43828.0587382571
2025-04-14,2750.0,1549.1916098319243,-2.0702525502532185,4297.121357281671,1716.9804677281015,-20.02804102206367,-2597.563596512583,3650.611169806545,-0.18951800545068984,-0.021127613077654595,-0.7580720218027593,0.0004513436510038868,450.5158196917556,-53.99888571899095,0.4792145474689602,19497.0,600.0,-39530.93738097543
2025-04-15,17100.0,-11257.369523770976,-0.5990347221900805,5842.031441506833,2699.9442859495475,-995.3143027850463,3755.3149492668504,11640.055067568648,-0.18347788765817874,0.006040117792511096,-0.733911550632715,0.0010136474358283104,340.02828619339135,-53.14082102707896,0.3125027568891644,19794.0,258.0,-33688.9059394686
2025-04-16,-9700.0,9027.112072782395,-18.016060744931888,-690.9039879625374,0.0,0.0,0.0,0.0,0.0,0.18347788765817874,,,,,,,,-34379.80992743113
