date,t,F,IV,P,h_dh,h_prev,option_pnl,futures_pnl,cost,total_pnl,cum_pnl
2025-03-19,0,22018.0,0.2644137442111969,68.0,-0.036268167197704315,0.0,3400.0,0.0,-17.3195733653903,3382.68042663461,3382.68042663461
2025-03-20,1,22365.0,0.2539960443973541,32.5,-0.03682439774274826,-0.036268167197704315,1775.0,-2517.0108035206795,-0.06088499546051026,-742.07168851614,2640.60873811847
2025-03-21,2,22181.0,0.25500693917274475,40.0,-0.02983502484858036,-0.03682439774274826,-375.0,1355.137836933136,-0.7599125785455108,979.3779243545905,3619.9866624730603
2025-03-24,3,22151.0,0.26840248703956604,40.0,-0.030443651601672173,-0.02983502484858036,-0.0,179.01014909148216,-0.06609929989278317,178.94404979158938,3798.9307122646496
2025-03-25,4,22301.0,0.26453056931495667,26.5,-0.03193517401814461,-0.030443651601672173,675.0,-913.3095480501652,-0.1628802139684558,-238.47242826413364,3560.458284000516
2025-03-26,5,22304.0,0.2603093683719635,21.5,-0.029037509113550186,-0.03193517401814461,250.0,-19.161104410886765,-0.31647137022018434,230.52242421889306,3790.980708219409
2025-03-27,6,21971.0,0.2621237337589264,35.0,-0.02737409621477127,-0.029037509113550186,-675.0,1933.8981069624424,-0.17945563717186452,1258.7186513252705,5049.699359544679
2025-03-28,7,21599.0,0.26780882477760315,63.0,-0.03185572102665901,-0.02737409621477127,-1400.0,2036.6327583789825,-0.4768269534856081,636.155931425497,5685.855290970177
2025-03-31,8,20764.0,0.32098090648651123,247.0,-0.04606996849179268,-0.03185572102665901,-9200.0,5319.905411452055,-1.464863486766815,-3881.5594520347117,1804.2958389354649
2025-04-01,9,21187.0,0.30844011902809143,124.0,-0.05083586648106575,-0.04606996849179268,6150.0,-3897.5193344056606,-0.4992182825803757,2251.981447311759,4056.277286247224
2025-04-02,10,21296.0,0.32781994342803955,115.0,-0.04237309843301773,-0.05083586648106575,450.0,-1108.2218892872334,-0.8901477943658829,-659.1120370815993,3397.1652491656246
2025-04-07,11,19167.0,0.4049936532974243,1020.0,-0.06228169426321983,-0.04237309843301773,-45250.0,18042.46531277895,-1.924524141713977,-27209.459211362766,-23812.29396219714
2025-04-08,12,18169.0,0.5102125406265259,1900.0,-0.10337644815444946,-0.06228169426321983,-44000.0,12431.426174938679,-3.808497411623597,-31572.382322472946,-55384.67628467009
2025-04-09,13,17184.0,0.6209865808486938,2840.0,-0.1416255086660385,-0.10337644815444946,-47000.0,20365.160286426544,-3.3940686335563663,-26638.23378220701,-82022.9100668771
2025-04-10,14,18902.0,0.26106157898902893,1110.0,-0.1589445322751999,-0.1416255086660385,86500.0,-48662.52477765083,-1.655837209224701,37835.81938513994,-44187.09068173716
2025-04-11,15,19543.0,0.41619813442230225,655.0,-0.15436862409114838,-0.1589445322751999,22750.0,-20376.689037680626,-0.4492260582447052,2372.8617362611294,-41814.22894547603
2025-04-14,16,19497.0,0.47921454906463623,600.0,-0.14548851549625397,-0.15436862409114838,2750.0,1420.191341638565,-0.8701440809965134,4169.321197557569,-37644.90774791846
2025-04-15,17,19794.0,0.31250277161598206,258.0,-0.15179117023944855,-0.14548851549625397,17100.0,-8642.017820477486,-0.6250720868110657,8457.357107435704,-29187.55064048276
2025-04-16,19,19548.0,,452.0,0.0,-0.15179117023944855,-9700.0,7468.1255757808685,-14.904678588151933,-2246.7791028072834,-31434.329743290044
