date,option_pnl,futures_pnl,cost,total_pnl,theta_pnl,gamma_pnl,vega_pnl,residual_pnl,futures_position,delta_hedge_change,delta,gamma,vega,theta,iv,F,P,cum_pnl
2025-03-19,3400.0,0.0,-15.170702057503771,3384.8292979424964,0.0,0.0,0.0,0.0,-0.01638446644370207,-0.01638446644370207,-0.06553786577480827,9.94476268146558e-05,977.9110085417956,-4.620325162842078,0.26441373429328197,22018.0,68.0,3384.8292979424964
2025-03-20,1775.0,-1137.0819711929234,-0.9058357907535772,637.012193016323,231.01625814210388,-299.35973242814725,509.37911564410996,1333.9643586419334,-0.008108970456550806,0.008275495987151263,-0.032435881826203224,6.585054585610173e-05,618.8637178764831,-2.9123144124698745,0.2539960355212093,22365.0,32.5,4021.841490958819
2025-03-21,-375.0,298.41011280106966,-0.18659031197501438,-76.77647751090535,145.61572062349373,-55.73590201260451,-31.28030182597402,-433.5995167849152,-0.009825153746119019,-0.0017161832895682128,-0.039300614984476075,7.88159516592793e-05,704.3829485138878,-3.456011691596051,0.25500693019551035,22181.0,40.0,3945.0650134479138
2025-03-24,-0.0,58.950922476714105,-0.00942257939723328,58.941499897316874,172.80058457980255,-1.7733589123337845,-471.77972799154696,300.7525023240782,-0.009911914633353681,-8.676088723466244e-05,-0.039647658533414724,8.035417915797883e-05,666.8323088592861,-3.892586503946474,0.26840247672277684,22151.0,40.0,4004.006513345231
2025-03-25,675.0,-297.35743900061044,-0.3147434456487944,377.3278175537408,194.6293251973237,-45.199225776363086,129.0959788911219,396.4739216879175,-0.0070297542212003315,0.0028821604121533496,-0.028119016884801326,6.385637088236679e-05,506.3590482936615,-3.0454048283981536,0.2645305593853593,22301.0,26.5,4381.3343308989715
2025-03-26,250.0,-4.217852532720199,-0.14965362180356986,245.63249384547623,152.27024141990768,-0.014367683448532526,106.87215392029923,-9.128027656758377,-0.005659500578844176,0.0013702536423561553,-0.022638002315376705,5.896866808083072e-05,439.3423251699644,-2.7239024835737617,0.26030935886448625,22304.0,21.5,4626.966824744448
2025-03-27,-675.0,376.9227385510221,-0.47531641602150976,-298.55257786499936,136.19512417868808,-163.47441587038094,-39.856371405169085,-607.8643369031381,-0.010065310671364937,-0.004405810092520761,-0.04026124268545975,8.72280816303905e-05,604.7827983786024,-3.9647081153547714,0.2621237240700125,21971.0,35.0,4328.414246879449
2025-03-28,-1400.0,748.8591139495513,-0.8047132847715529,-651.9455993352202,198.23540576773857,-301.774271208499,-171.91224557439236,-1124.5488889848473,-0.017628689790613338,-0.007563379119248401,-0.07051475916245335,0.00013154611218310527,855.5214633375143,-6.032089946905742,0.2678088145201801,21599.0,63.0,3676.4686475442286
2025-03-31,-9200.0,2943.991195032427,-3.559103426244816,-6259.567908393818,301.6044973452871,-2292.9309516716394,-2274.4939049922573,-4934.17964068139,-0.05216431533638278,-0.034535625545769444,-0.20865726134553111,0.00023985567504249215,1455.051535269881,-14.605749134266501,0.3209809207141995,20764.0,247.0,-2583.099260849589
2025-04-01,6150.0,-4413.101077457983,-1.6689603999553937,1735.2299621420618,730.287456713325,-1072.9284019919521,912.37667920142,5580.264266077207,-0.03623121494348369,0.015933100392899087,-0.14492485977393477,0.00019104297615768248,1087.0242803050367,-11.181396484158025,0.308440104707539,21187.0,124.0,-847.8692987075272
2025-04-02,450.0,-789.8404857679445,-0.9321652793075929,-340.7726510472521,559.0698242079012,-56.74453999323564,-1053.3184980001265,1000.993213785461,-0.027368980389677097,0.008862234553806594,-0.10947592155870839,0.0001750908144577842,998.4584558609929,-11.694748777457344,0.3278199569718242,21296.0,115.0,-1188.6419497547793
