date,contract,contract month(Week),open,high,low,last,Change,%,Volume,settlement_price,open_interest,best_bid,best_ask,historical_high,historical_low,trading_halt,Trading Session,Volume(executions among spread order and single order only)
2025/03/25,TX,202505  ,22355,22461,22228,22323,142,0.64%,667,22319,859,22318,22328,23821,21718,,Regular,,
2025/03/25,TX,202505  ,22198,22387,22188,22359,178,0.80%,453,-,-,22355,22361,23821,21718,,After-Hours,,
2025/03/25,TX,202506  ,22338,22450,22222,22306,133,0.60%,103,22306,517,22306,22316,24547,19133,,Regular,,
2025/03/25,TX,202506  ,22241,22365,22238,22360,187,0.84%,33,-,-,22345,22350,24547,19133,,After-Hours,,
2025/03/25,TX,202509  ,22175,22175,21971,22049,134,0.61%,21,22049,732,22039,22050,23902,21377,,Regular,,
2025/03/25,TX,202509  ,21973,22108,21973,22108,193,0.88%,7,-,-,22081,22088,23902,21377,,After-Hours,,
2025/03/25,TX,202512  ,22126,22126,21965,21988,66,0.30%,6,22045,247,22037,22054,24048,21668,,Regular,,
2025/03/25,TX,202512  ,21995,22110,21978,22110,188,0.86%,8,-,-,22082,22093,24048,21668,,After-Hours,,
2025/03/25,TX,202603  ,22168,22168,22060,22060,123,0.56%,2,22060,69,22059,22079,22263,21918,,Regular,,
2025/03/25,TX,202603  ,22036,22036,22036,22036,99,0.45%,2,-,-,22105,22113,22263,21918,,After-Hours,,
2025/03/26,TX,202504  ,22409,22429,22250,22305,4,0.02%,53992,22304,73536,22302,22306,23867,21671,,Regular,,
